# name	status	verified	params(known)	write-shaped	purpose
# one method per line; full entry at https://vs.izie.top/redocumented/api/methods/<name>.json
entity.presentComments	documented	docs-only	params	-	Provide comments for work objects. Apps call this endpoint to send per-user flexpane comment data to the client.
entity.presentDetails	documented	docs-only	params	-	Provide custom flexpane behavior for Work Objects. Apps call this endpoint to send per-user flexpane metadata to the client.
experiments.getByUser	undocumented	live-verified	params	-	A/B experiment bucket assignments
experiments.getConfigById	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
export.configuration.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
export.configuration.set	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
export.partners.list	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
externalWorkspaces.invites.accept	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
externalWorkspaces.invites.info	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
externalWorkspaces.invites.revokeBulk	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
externalWorkspaces.kick	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
feature.usage.info	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
features.access.policies.list	undocumented	live-verified	params	-	Feature-flag/entitlement access policies
features.app_home.home_tab_enabled	undocumented	ambiguous (404, likely not a callable method -- see methods/internal-canvas-2026.md)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
features.app_home.messages_tab_enabled	undocumented	ambiguous (404, likely not a callable method -- see methods/internal-canvas-2026.md)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
features.app_home.messages_tab_read_only_enabled	undocumented	ambiguous (404, likely not a callable method -- see methods/internal-canvas-2026.md)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
features.bot_user.always_online	undocumented	ambiguous (404, likely not a callable method -- see methods/internal-canvas-2026.md)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
features.rich_previews.entity_types	undocumented	ambiguous (404, likely not a callable method -- see methods/internal-canvas-2026.md)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
feedback.submitEnterpriseSearchFeedback	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
feedback.submitFeedback	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
feedback.submitPilotFeedback	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
feedback.submitSalesforceFeedback	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
feedback.submitSlackWrappedFeedback	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
feedback.submitUserFeedback	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
files.acceptPermissionRequest	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.canSee	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.canShare	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.canUndelete	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.close	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.collections.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.collections.delete	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
files.collections.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.collections.reorder	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.collections.update	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.comments.delete	documented	docs-only	params	write	Deletes an existing comment on a file.
files.completeUpload	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.completeUploadExternal	documented	docs-only	params	-	Finishes an upload started with files.getUploadURLExternal
files.completeUploadForFileStore	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.createCanvas	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.createExternal	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
files.createSkillCanvas	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.delete	documented	docs-only	params	write	Deletes a file.
files.disableCrossWorkspaceLinkSharing	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.disableRestrictedSharing	undocumented	existence-only (sample-checked)	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.docs.create	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
files.docs.fetchAccessLevelForUsers	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.docs.setEditor	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
files.docs.setNonOwnerEditability	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
files.docs.unsetEditor	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
files.edit	undocumented	not-live-tested	params	write	Edit an uploaded file's content/title in place
files.embedWithPermissions	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.enableCrossWorkspaceLinkSharing	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.enableRestrictedSharing	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.external.checkPermission	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.external.getOrCreate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.external.getProviders	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.external.preview	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
files.external.searchConnector	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
files.favorites.add	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.favorites.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.favorites.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.generateAltText	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.generateProviderTokenForFileStore	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.generateThumbnails	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.getMetadata	undocumented	existence-only (sample-checked)	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.getOverview	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.getProviderPreviewUrlForFileStore	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.getShares	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.getUploadURL	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.getUploadURLExternal	documented	docs-only	params	-	Gets a URL for an edge external file upload
files.getUploadURLForFileStore	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.hasShares	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.ignorePermissionRequest	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.importFromExternalURL	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.info	documented	docs-only	params	-	Gets information about a file.
files.isAccessRequestedByUser	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.list	documented	docs-only	params	-	List files for a team, in a channel, or from a user with applied filters.
files.markRead	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.open	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.ping	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.readStatus	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.recentlyDeleted	undocumented	existence-only (sample-checked)	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.refresh	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
files.remote.add	documented	docs-only	params	write	Adds a file from a remote service
files.remote.info	documented	docs-only	params	-	Retrieve information about a remote file added to Slack
files.remote.list	documented	docs-only	params	-	Retrieve information about a remote file added to Slack
files.remote.remove	documented	docs-only	params	write	Remove a remote file.
files.remote.share	documented	docs-only	params	write	Share a remote file into a channel.
files.remote.update	documented	docs-only	params	write	Updates an existing remote file.
files.requestPermission	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.retranscribe	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.revokePermission	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.revokePublicURL	documented	docs-only	params	write	Revokes public/external sharing access for a file
files.setExcludeFromSlackAi	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.share	undocumented	not-live-tested	params	write	Share an already-uploaded file into a channel
files.sharedPublicURL	documented	docs-only	params	write	Enables a file for public/external sharing.
files.suggestions.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
files.undelete	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.unlock	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.unshare	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
files.updatePermission	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
files.upload	documented	docs-only	params	write	Uploads or creates a file.
files.uploadExternal	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
folders.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
folders.items.add	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
folders.items.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
folders.items.reorder	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
folders.update	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.categories.steps.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
functions.completeError	documented	docs-only	params	-	Signal that a function failed to complete
functions.completeSuccess	documented	docs-only	params	-	Signal the successful completion of a function
functions.distributions.permissions.add	documented	docs-only	params	write	Grant users access to a custom slack function if its permission_type is set to named_entities
functions.distributions.permissions.list	documented	docs-only	params	-	List the access type of a custom slack function and include the users, team or org ids with access if its permission_type is set to named_entities
functions.distributions.permissions.remove	documented	docs-only	params	write	Revoke user access to a custom slack function if permission_type set to named_entities
functions.distributions.permissions.set	documented	docs-only	params	write	Set the access type of a custom slack function and define the users, team or org ids to be granted access if permission_type is set to named_entities
functions.get	undocumented	existence-only (sample-checked)	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
functions.shortcuts.copy	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
functions.workflows.collaborators.add	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.collaborators.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.create	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
functions.workflows.delete	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.executions.confirmDelivery	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
functions.workflows.executions.resume	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
functions.workflows.export	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.findWorkflowForBotUsers	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.get	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
functions.workflows.getIsRestricted	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.getLatest	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.import	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
functions.workflows.permissions.copy.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.permissions.copy.set	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.publish	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.restoreFromVersion	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.steps.add	undocumented	existence-only	params	write	(inferred from name only; see methods/datamine-2026-09.md)
functions.workflows.steps.aiFilePrecheck	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.steps.delete	undocumented	existence-only (sample-checked)	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.steps.inputs.dynamicOptions.get	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.steps.inputs.dynamicOptions.validate	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
functions.workflows.steps.list	documented	docs-only	params	-	List the steps of a specific function of a workflow's versions
functions.workflows.steps.move	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.steps.responses.export	documented	docs-only	params	-	Download form responses of a workflow
functions.workflows.steps.run	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.steps.update	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.steps.variables.schema.get	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.unpublish	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
functions.workflows.update	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
gif.featured	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
gif.search	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
google.auth.disable	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
google.directory.groups.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
help.issues.ticketStats	undocumented	live-verified	params	-	Open/unread support ticket counts
help.productHelpCard.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
helpcenter.getWhatsNew	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
helpcenter.postFeedback	undocumented	existence-only (sample-checked)	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
helpcenter.track	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
helpdesk.categories	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
helpdesk.get	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
helpdesk.getArticle	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
helpdesk.getSectionsAndArticlesByCategory	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
huddles.cancelKnock	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.external.generate	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
huddles.external.new	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
huddles.get	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.getIndirectHuddle	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.getTrackUrls	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
huddles.history	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.knock	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.knockResponse	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.listBackgrounds	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.readiness	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.recording.auditLog	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.recording.cancel	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.recording.setLanguage	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.recording.start	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
huddles.scheduled.new	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
huddles.update	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
i18n.translations.get	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
idpgroups.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
im.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
imports.listByService	undocumented	not-live-tested (source-only, typed but unverified)	params	-	params per slack-undoc-client generated types: service_name?: string; limit?: number;
inprodsurveys.get	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
insights.messageStats	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
insights.messageStats.export	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
instantSlack.moveSession	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lab.features	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
links.disconnectApps	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
links.getDomains	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
links.getInterstitialFields	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
links.getTransferPayload	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.addToList	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
lists.cells.update	undocumented	existence-only (sample-checked)	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.columns.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.columns.delete	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.columns.revert	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.columns.update	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.create	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.duplicate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.edits.getLastForCell	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
lists.edits.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.getApprovalReviewPending	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.getMyItems	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.getOrCreateTaskList	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.getThreadsForRecord	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.history.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.history.load	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.import	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.open	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.archive	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.count	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.delete	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.deleteMultiple	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.info	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
lists.records.infoBatch	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
lists.records.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
lists.records.open	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.reorder	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.subscriptions.add	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.subscriptions.get	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.subscriptions.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.records.updateDeletion	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.setupTodos	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.templates	undocumented	existence-only (sample-checked)	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.update	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.updateApproval	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.updateMyItemReminder	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.upsertToTaskList	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.views.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.views.delete	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
lists.views.update	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
mc.deprecations.getByAppId	undocumented	ambiguous (internal access-elevation gate, see methods/internal-canvas-2026.md)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
mc.deprecations.list	undocumented	ambiguous (internal access-elevation gate, see methods/internal-canvas-2026.md)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
mc.enterprise.retention.get	undocumented	ambiguous (internal access-elevation gate, see methods/internal-canvas-2026.md)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
media.progress.update	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
media.reactions.add	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
media.reactions.get	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
media.reactions.remove	undocumented	existence-only (sample-checked)	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
meetings.channel.getOrCreate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
meetings.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
meetings.processRecording	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
meetings.resolve	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
meetings.transcribeChunk	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
meetings.update	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
meetings.usersetdata	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
megaphone.executeEvent	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
megaphone.notifications.list	undocumented	partial	params	-	"What's new" announcement notifications
megaphone.setNotificationAsSeen	undocumented	existence-only	params	write	(inferred from name only; see methods/datamine-2026-09.md)
megaphone.visualizer.notifications.get	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
megaphone.visualizer.notifications.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
megaphone.visualizer.reducers.get	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
megaphone.visualizer.reducers.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
megaphone.visualizer.spaces.get	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
megaphone.visualizer.spaces.list	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
messages.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
messages.sent.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
migration.exchange	documented	docs-only	params	-	For Enterprise organization workspaces, map local user IDs to global user IDs
moderation.flags.assignFlag	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
moderation.flags.comments.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
